0.000000000000000000;A1;B00; Start()
0.000000000000000;A1;F00; ComputeNewConfiguration()
0.505000000000000;A1;F00; RequestInformationToAp() (request #0)
0.505000000000000;A1;F00; InportReceivingInformationFromAp()
0.505000000000000;A1;C03;  - Action (3):
0.505000000000000;A1;C03;    · channel = 0
0.505000000000000;A1;C03;    · cca = -82.000000 dBm
0.505000000000000;A1;C03;    · tx_power = 20.000000 dBm
0.505000000000000;A1;C03;    · max_bandwidth = 1
0.505000000000000;A1;C03;  - Performance:
0.505000000000000;A1;C03;    · Average throughput = 57.93 Mbps
0.505000000000000;A1;C03;    · Average delay = 0.0054 s
0.505000000000000;A1;C03;    · Maximum delay = 0.0172 s
0.505000000000000;A1;C03;    · Minimum delay = 0.0000 s
0.505000000000000;A1;C03;    · Associated reward = 0.475345
0.505000000000000;A1;F00; ComputeNewConfiguration()
0.505000000000000;A1;F00; SendNewConfigurationToAp()
0.505000000000000;A1;C03;  - Action (2):
0.505000000000000;A1;C03;    · channel = 0
0.505000000000000;A1;C03;    · cca = -82.000000 dBm
0.505000000000000;A1;C03;    · tx_power = 10.000000 dBm
0.505000000000000;A1;C03;    · max_bandwidth = 1
0.505000000000000;A1;C00;  - Next request to be sent at 1.005000
1.005000000000000;A1;F00; RequestInformationToAp() (request #1)
1.005000000000000;A1;F00; InportReceivingInformationFromAp()
1.005000000000000;A1;C03;  - Action (2):
1.005000000000000;A1;C03;    · channel = 0
1.005000000000000;A1;C03;    · cca = -82.000000 dBm
1.005000000000000;A1;C03;    · tx_power = 10.000000 dBm
1.005000000000000;A1;C03;    · max_bandwidth = 1
1.005000000000000;A1;C03;  - Performance:
1.005000000000000;A1;C03;    · Average throughput = 46.37 Mbps
1.005000000000000;A1;C03;    · Average delay = 0.0051 s
1.005000000000000;A1;C03;    · Maximum delay = 0.0227 s
1.005000000000000;A1;C03;    · Minimum delay = 0.0000 s
1.005000000000000;A1;C03;    · Associated reward = 0.380455
1.005000000000000;A1;F00; ComputeNewConfiguration()
1.005000000000000;A1;F00; SendNewConfigurationToAp()
1.005000000000000;A1;C03;  - Action (1):
1.005000000000000;A1;C03;    · channel = 0
1.005000000000000;A1;C03;    · cca = -72.000000 dBm
1.005000000000000;A1;C03;    · tx_power = 20.000000 dBm
1.005000000000000;A1;C03;    · max_bandwidth = 1
1.005000000000000;A1;C00;  - Next request to be sent at 1.505000
1.505000000000000;A1;F00; RequestInformationToAp() (request #2)
1.505000000000000;A1;F00; InportReceivingInformationFromAp()
1.505000000000000;A1;C03;  - Action (1):
1.505000000000000;A1;C03;    · channel = 0
1.505000000000000;A1;C03;    · cca = -72.000000 dBm
1.505000000000000;A1;C03;    · tx_power = 20.000000 dBm
1.505000000000000;A1;C03;    · max_bandwidth = 1
1.505000000000000;A1;C03;  - Performance:
1.505000000000000;A1;C03;    · Average throughput = 94.13 Mbps
1.505000000000000;A1;C03;    · Average delay = 0.0012 s
1.505000000000000;A1;C03;    · Maximum delay = 0.0058 s
1.505000000000000;A1;C03;    · Minimum delay = 0.0000 s
1.505000000000000;A1;C03;    · Associated reward = 0.772332
1.505000000000000;A1;F00; ComputeNewConfiguration()
1.505000000000000;A1;F00; SendNewConfigurationToAp()
1.505000000000000;A1;C03;  - Action (0):
1.505000000000000;A1;C03;    · channel = 0
1.505000000000000;A1;C03;    · cca = -72.000000 dBm
1.505000000000000;A1;C03;    · tx_power = 10.000000 dBm
1.505000000000000;A1;C03;    · max_bandwidth = 1
1.505000000000000;A1;C00;  - Next request to be sent at 2.005000
